record_timestamp,01.csvCHW.FLOW,01.csvCHWR.TEMP.1,01.csvCHWS.TEMP.1,01.csvCWR.TEMP.1,01.csvCWS.TEMP.1,01CoolingLoad,01cop
2019-09-30 19:05:00+00:00,67.6875,10.5624,8.12004,26.8837,27.4637,694.3324185,5.884173038
2019-09-30 19:10:00+00:00,68.0944,9.8823,8.16005,26.5836,27.1437,492.5574377,3.444457606
2019-09-30 19:15:00+00:00,66.282,9.9023,6.49992,26.4636,27.7837,947.1695149,5.09230922
2019-09-30 19:20:00+00:00,71.1644,9.68228,10.5402,26.3836,26.0036,256.4241206,256.4241206
2019-10-02 12:10:00+00:00,127.201,11.2824,7.01995,29.3839,32.6241,2277.18919,7.590630634
2019-10-02 12:15:00+00:00,128.07,11.3624,7.01995,29.3239,32.6641,2335.7778,7.633260785
2019-10-02 12:20:00+00:00,127.367,11.3424,6.95995,29.4039,32.7241,2344.353938,7.686406356
2019-10-02 12:25:00+00:00,128.292,11.2824,6.91995,29.5839,32.8841,2350.603229,7.58259106
2019-10-02 12:30:00+00:00,127.682,11.3024,7.01995,29.6039,32.8641,2296.52548,7.554360131
2019-10-02 12:35:00+00:00,126.997,11.3824,6.99995,29.9239,33.1842,2337.543611,7.444406405
2019-10-02 12:40:00+00:00,124.26,11.3224,6.95995,30.0039,33.2442,2276.727755,7.416051321
2019-10-02 12:45:00+00:00,124.371,11.3824,7.01995,30.2239,33.5042,2278.76153,7.303722851
2019-10-02 12:50:00+00:00,123.003,11.4024,7.07996,30.2839,33.4042,2233.026967,7.321399891
2019-10-02 12:55:00+00:00,122.892,11.3824,6.89995,30.2839,33.5842,2313.600431,7.275473052
2019-10-02 13:00:00+00:00,122.318,11.3824,6.93995,30.2239,33.5042,2282.244716,7.338407448
2019-10-02 13:05:00+00:00,121.764,11.3824,6.97995,30.2239,33.4642,2251.451672,7.262747328
2019-10-02 13:10:00+00:00,120.783,11.3424,7.01995,30.0039,33.1642,2192.729609,7.309098697
2019-10-02 13:15:00+00:00,120.839,11.4024,6.97995,30.0839,33.3042,2244.498629,7.240318159
2019-10-02 13:20:00+00:00,123.558,11.3424,6.97995,30.1239,33.2642,2263.865508,7.422509862
2019-10-02 13:25:00+00:00,125.277,11.5024,7.01995,30.4439,33.6242,2358.501132,7.583604927
